Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2023-01-01,5.8,Ban Sop Tam,น้ำแม่ต่ำ,เกาะคา,เกาะคา,ลำปาง
2023-01-01,4.53,Ban Sop Win,น้ำแม่วาง,แม่วิน,แม่วาง,เชียงใหม่
2023-01-01,7.35,Ban Tha Duea,แม่น้ำวัง,พิชัย,เมือง,ลำปาง
2023-01-01,4.85,Ban Tha Lo,น้ำแม่ตุ๋ย,บ่อแฮ้ว,เมือง,ลำปาง
2023-01-01,3.92,Ban Tha Pong Daeng,น้ำปาย,ผาบ่อง,เมือง,แม่ฮ่องสอน
2023-01-01,11.94,Ban Thung Nong,แม่น้ำยม,สระ,เชียงม่วน,พะเยา
2023-01-01,3.76,Ban Ton Yang,น้ำแม่ลาว,บัวสลี,แม่ลาว,เชียงราย
2023-01-01,12.97,Ban Wang Chin,แม่น้ำยม,วังชิ้น,วังชิ้น,แพร่
2023-01-01,4.42,Chedingam,น้ำอิง,ท่าวังทอง,เมือง,พะเยา
2023-01-01,6.94,In front of the Forestry Office,แม่น้ำน่าน,ในเวียง,เมือง,น่าน
2023-01-01,5.65,Mae Kham Lak Chet,น้ำแม่คำ,ศรีค้ำ,แม่จัน,เชียงราย
2023-01-01,3.6,Nam Mae Chaem,น้ำแม่แจ่ม,บ้านท่าข้าม,จอมทอง,เชียงใหม่
2023-01-01,5.16,Nawarat Bridge,แม่น้ำปิง,วัดเกต,เมือง,น่าน
2023-01-01,4.46,Pracha Uthit Bridge,น้ำแม่กลาง,บ้านหลวง,จอมทอง,เชียงใหม่
2023-01-01,5.54,Romklao Cooperative House,น้ำแม่งัด,แม่แวน,พร้าว,เชียงใหม่
2023-01-01,4.26,Saphan Ban Khay,น้ำฝาง,แม่นาวาง,แม่อาย,เชียงใหม่
2023-01-01,4.59,Setuwari Bridge,แม้น้ำวัง,เวียงเหนือ,เมือง,ลำปาง
2023-01-01,12.4,Tha Li Bridge,น้ำว้า,ขึ่ง,เวียงสา,น่าน
2023-01-01,7.85,Tha Nang Bridge,น้ำแม่กวง,ในเมือง,เมือง,ลำพูน
2023-01-01,3.66,Wang Phrao,น้ำแม่จาง,วังพร้าว,เกาะคา,ลำปาง
2023-01-02,1.25,Ban Chiang,น้ำแม่แจ่ม,ช่างเคิ่ง,แม่แจ่ม,เชียงใหม่
2023-01-02,2.57,Ban Chiang Dao,แม่น้ำปิง,เชียงดาว,เชียงดาว,เชียงใหม่
2023-01-02,3.58,Ban Chor Lae,แม่น้ำปิง,ช่อแล,แม่แตง,เชียงใหม่
2023-01-02,3.92,Ban Don Chai,แม่น้ำวัง,ล้อมแรด,เถิน,ลำปาง
2023-01-02,8.54,Ban Don Mun,แม่น้ำวัง,บ้านแลง,เมือง,ลำปาง
2023-01-02,4.7,Ban Don Sali,น้ำแม่ลาว,ป่าแดด,แม่สรวย,เชียงราย
2023-01-02,4.03,Ban Hong,น้ำแม่ออน,ร้องวัวแดง,สันกำแพง,เชียงใหม่
2023-01-02,,Ban Hua Sapan,น้ำแม่จัน,ป่าซาง,แม่จัน,เชียงราย
2023-01-02,5.5,Ban Huai Pa Sang,น้ำแม่แตง,กึ๊ดช้าง,แม่แตง,เชียงใหม่
2023-01-02,8.88,Ban Huai Sak,แม่น้ำยม,เตาปูน,สอง,แพร่
2023-01-02,6.37,Ban Klang,น้ำแม่ขาน,บ้านกลาง,สันป่าตอง,เชียงใหม่
2023-01-02,0.46,Ban Klang,น้ำสา,แม่สา,เวียงสระ,น่าน
2023-01-02,3.23,Ban Ko Kha,แม่น้ำวัง,ศาลา,เกาะคา,ลำปาง
2023-01-02,6,Ban Kok Tong,แม่น้ำกก,รอบเวียง,เมือง,เชียงราย
2023-01-02,4.44,Ban Krariang Tung Phrao,น้ำแม่สรวย,วาวี,แม่สรวย,เชียงราย
2023-01-02,3.06,Ban Lai Kaeo,น้ำแม่ลี้,ศรีเตี้ย,บ้านโฮ่ง,ลำพูน
2023-01-02,6.6,Ban Luang,น้ำแม่ตื่น,ยางเปียง,อมก๋อย,เชียงใหม่
2023-01-02,7.61,Ban Luang Nuea,น้ำงาว,หลวงใต้,งาว,ลำปาง
2023-01-02,6.78,Ban Mae E Hi,น้ำแม่ลี้,ศรีวิชัย,ลี้,ลำพูน
2023-01-02,5.03,Ban Mae Kha Bridge,น้ำฝาง,แม่ข่า,ฝาง,เชียงใหม่
2023-01-02,6.74,Ban Mae Khom Mi Tamnak Tham,น้ำแม่คำมี,ตำหนักธรรม,หนองม่วงไข่,แพร่
2023-01-02,5.95,Ban Mae Lai,น้ำแม่หล่าย,แม่หล่าย,เมือง,แพร่
2023-01-02,2.32,Ban Mae Tae,แม่น้ำปิง,แม่แฝกเก่า,สันทราย,เชียงใหม่
2023-01-02,2.6,Ban Mae Taeng,แม่น้ำแตง,สันมหาพล,แม่แตง,เชียงใหม่
