Date,Water volume in dams (by %),Name of dam
2022-01-15,45.26,Sirikit Dam
2022-01-15,41.26,Mae Ngat Somboon Chon Dam
2022-01-15,33,Mae Kuang Udom Thara Dam
2022-01-15,81.57,Kiew Lom Dam
2022-01-15,80.28,Kiew Kor Ma Dam
2022-01-15,85.96,Khwae Noi Bamrung Dan Dam
2022-01-15,79.85,Mae Mok Dam
2022-01-16,56.86,Bhumibol Dam
2022-01-16,45.21,Sirikit Dam
2022-01-16,41.27,Mae Ngat Somboon Chon Dam
2022-01-16,33.02,Mae Kuang Udom Thara Dam
2022-01-16,81.43,Kiew Lom Dam
2022-01-16,79.92,Kiew Kor Ma Dam
2022-01-16,85.52,Khwae Noi Bamrung Dan Dam
2022-01-16,78.18,Mae Mok Dam
2022-01-17,56.62,Bhumibol Dam
2022-01-17,45.15,Sirikit Dam
2022-01-17,41.33,Mae Ngat Somboon Chon Dam
2022-01-17,33.12,Mae Kuang Udom Thara Dam
2022-01-17,81.43,Kiew Lom Dam
2022-01-17,79.8,Kiew Kor Ma Dam
2022-01-17,85.09,Khwae Noi Bamrung Dan Dam
2022-01-17,75.45,Mae Mok Dam
2022-01-18,56.46,Bhumibol Dam
2022-01-18,45.08,Sirikit Dam
2022-01-18,41.39,Mae Ngat Somboon Chon Dam
2022-01-18,33.17,Mae Kuang Udom Thara Dam
2022-01-18,81.05,Kiew Lom Dam
2022-01-18,79.68,Kiew Kor Ma Dam
2022-01-18,84.66,Khwae Noi Bamrung Dan Dam
2022-01-18,73.64,Mae Mok Dam
2022-01-19,56.31,Bhumibol Dam
2022-01-19,45.01,Sirikit Dam
2022-01-19,41.42,Mae Ngat Somboon Chon Dam
2022-01-19,33.23,Mae Kuang Udom Thara Dam
2022-01-19,80.43,Kiew Lom Dam
2022-01-19,79.68,Kiew Kor Ma Dam
2022-01-19,84.24,Khwae Noi Bamrung Dan Dam
2022-01-19,71.82,Mae Mok Dam
2022-01-20,56.17,Bhumibol Dam
2022-01-20,44.94,Sirikit Dam
2022-01-20,41.48,Mae Ngat Somboon Chon Dam
2022-01-20,33.32,Mae Kuang Udom Thara Dam
2022-01-20,79.89,Kiew Lom Dam
2022-01-20,79.74,Kiew Kor Ma Dam
2022-01-20,83.81,Khwae Noi Bamrung Dan Dam
2022-01-20,71.82,Mae Mok Dam
2022-01-21,56.05,Bhumibol Dam
2022-01-21,44.87,Sirikit Dam
2022-01-21,41.53,Mae Ngat Somboon Chon Dam
2022-01-21,33.45,Mae Kuang Udom Thara Dam
2022-01-21,79.11,Kiew Lom Dam
2022-01-21,79.8,Kiew Kor Ma Dam
2022-01-21,83.39,Khwae Noi Bamrung Dan Dam
2022-01-21,71.82,Mae Mok Dam
2022-01-22,55.98,Bhumibol Dam
2022-01-22,44.79,Sirikit Dam
2022-01-22,41.65,Mae Ngat Somboon Chon Dam
2022-01-22,33.54,Mae Kuang Udom Thara Dam
2022-01-22,78.47,Kiew Lom Dam
2022-01-22,79.92,Kiew Kor Ma Dam
2022-01-22,82.96,Khwae Noi Bamrung Dan Dam
2022-01-22,71.5,Mae Mok Dam
2022-01-23,55.84,Bhumibol Dam
2022-01-23,44.76,Sirikit Dam
2022-01-23,41.77,Mae Ngat Somboon Chon Dam
2022-01-23,33.57,Mae Kuang Udom Thara Dam
2022-01-23,78.06,Kiew Lom Dam
2022-01-23,80.1,Kiew Kor Ma Dam
2022-01-23,82.53,Khwae Noi Bamrung Dan Dam
2022-01-23,71.36,Mae Mok Dam
2022-01-24,55.7,Bhumibol Dam
2022-01-24,44.72,Sirikit Dam
2022-01-24,41.82,Mae Ngat Somboon Chon Dam
2022-01-24,33.6,Mae Kuang Udom Thara Dam
2022-01-24,77.69,Kiew Lom Dam
2022-01-24,80.16,Kiew Kor Ma Dam
2022-01-24,82.11,Khwae Noi Bamrung Dan Dam
2022-01-24,70.91,Mae Mok Dam
2022-01-25,55.57,Bhumibol Dam
2022-01-25,44.65,Sirikit Dam
2022-01-25,41.84,Mae Ngat Somboon Chon Dam
2022-01-25,33.64,Mae Kuang Udom Thara Dam
2022-01-25,77.12,Kiew Lom Dam
2022-01-25,80.16,Kiew Kor Ma Dam
2022-01-25,81.68,Khwae Noi Bamrung Dan Dam
2022-01-25,70.91,Mae Mok Dam
2022-01-26,55.44,Bhumibol Dam
2022-01-26,44.58,Sirikit Dam
2022-01-26,41.84,Mae Ngat Somboon Chon Dam
2022-01-26,33.67,Mae Kuang Udom Thara Dam
2022-01-26,76.4,Kiew Lom Dam
2022-01-26,80.04,Kiew Kor Ma Dam
2022-01-26,81.26,Khwae Noi Bamrung Dan Dam
2022-01-26,70.91,Mae Mok Dam
2022-01-27,55.26,Bhumibol Dam
2022-01-27,44.51,Sirikit Dam
2022-01-27,41.82,Mae Ngat Somboon Chon Dam
2022-01-27,33.7,Mae Kuang Udom Thara Dam
2022-01-27,75.63,Kiew Lom Dam
2022-01-27,80.04,Kiew Kor Ma Dam
2022-01-27,80.83,Khwae Noi Bamrung Dan Dam
2022-01-27,70.91,Mae Mok Dam
2022-01-28,55.11,Bhumibol Dam
2022-01-28,44.46,Sirikit Dam
2022-01-28,41.8,Mae Ngat Somboon Chon Dam
2022-01-28,33.73,Mae Kuang Udom Thara Dam
2022-01-28,74.85,Kiew Lom Dam
2022-01-28,79.92,Kiew Kor Ma Dam
2022-01-28,80.4,Khwae Noi Bamrung Dan Dam
2022-01-28,70.55,Mae Mok Dam
2022-01-29,54.96,Bhumibol Dam
2022-01-29,44.41,Sirikit Dam
2022-01-29,41.62,Mae Ngat Somboon Chon Dam
2022-01-29,33.75,Mae Kuang Udom Thara Dam
2022-01-29,74.07,Kiew Lom Dam
2022-01-29,79.8,Kiew Kor Ma Dam
2022-01-29,79.98,Khwae Noi Bamrung Dan Dam
2022-01-29,70,Mae Mok Dam
2022-01-30,54.82,Bhumibol Dam
2022-01-30,44.35,Sirikit Dam
2022-01-30,41.65,Mae Ngat Somboon Chon Dam
2022-01-30,33.77,Mae Kuang Udom Thara Dam
2022-01-30,73.23,Kiew Lom Dam
2022-01-30,79.74,Kiew Kor Ma Dam
2022-01-30,79.55,Khwae Noi Bamrung Dan Dam
2022-01-30,69.73,Mae Mok Dam
2022-01-31,54.67,Bhumibol Dam
2022-01-31,44.3,Sirikit Dam
2022-01-31,41.63,Mae Ngat Somboon Chon Dam
2022-01-31,33.78,Mae Kuang Udom Thara Dam
2022-01-31,72.52,Kiew Lom Dam
2022-01-31,79.68,Kiew Kor Ma Dam
2022-01-31,79.13,Khwae Noi Bamrung Dan Dam
2022-01-31,69.09,Mae Mok Dam
2022-02-01,54.52,Bhumibol Dam
2022-02-01,44.25,Sirikit Dam
2022-02-01,41.57,Mae Ngat Somboon Chon Dam
2022-02-01,33.79,Mae Kuang Udom Thara Dam
2022-02-01,72.06,Kiew Lom Dam
2022-02-01,79.56,Kiew Kor Ma Dam
2022-02-01,78.7,Khwae Noi Bamrung Dan Dam
2022-02-01,68.5,Mae Mok Dam
2022-02-02,54.35,Bhumibol Dam
2022-02-02,44.2,Sirikit Dam
2022-02-02,41.5,Mae Ngat Somboon Chon Dam
2022-02-02,33.79,Mae Kuang Udom Thara Dam
2022-02-02,71.61,Kiew Lom Dam
2022-02-02,79.44,Kiew Kor Ma Dam
2022-02-02,78.27,Khwae Noi Bamrung Dan Dam
2022-02-02,67.96,Mae Mok Dam
2022-02-03,54.18,Bhumibol Dam
2022-02-03,44.13,Sirikit Dam
2022-02-03,41.43,Mae Ngat Somboon Chon Dam
2022-02-03,33.8,Mae Kuang Udom Thara Dam
2022-02-03,70.93,Kiew Lom Dam
2022-02-03,79.08,Kiew Kor Ma Dam
2022-02-03,77.85,Khwae Noi Bamrung Dan Dam
2022-02-03,67.27,Mae Mok Dam
2022-02-04,54,Bhumibol Dam
2022-02-04,44.07,Sirikit Dam
2022-02-04,41.35,Mae Ngat Somboon Chon Dam
2022-02-04,33.8,Mae Kuang Udom Thara Dam
2022-02-04,70.48,Kiew Lom Dam
2022-02-04,78.66,Kiew Kor Ma Dam
2022-02-04,77.42,Khwae Noi Bamrung Dan Dam
2022-02-04,66.36,Mae Mok Dam
2022-02-05,53.82,Bhumibol Dam
2022-02-05,44.02,Sirikit Dam
2022-02-05,41.14,Mae Ngat Somboon Chon Dam
2022-02-05,33.85,Mae Kuang Udom Thara Dam
2022-02-05,70.15,Kiew Lom Dam
2022-02-05,78.25,Kiew Kor Ma Dam
2022-02-05,77,Khwae Noi Bamrung Dan Dam
2022-02-05,66.36,Mae Mok Dam
2022-02-06,53.68,Bhumibol Dam
2022-02-06,43.97,Sirikit Dam
2022-02-06,41.17,Mae Ngat Somboon Chon Dam
2022-02-06,33.91,Mae Kuang Udom Thara Dam
2022-02-06,70.48,Kiew Lom Dam
2022-02-06,77.59,Kiew Kor Ma Dam
2022-02-06,76.61,Khwae Noi Bamrung Dan Dam
2022-02-06,66.55,Mae Mok Dam
2022-02-07,53.55,Bhumibol Dam
2022-02-07,43.94,Sirikit Dam
2022-02-07,41.18,Mae Ngat Somboon Chon Dam
2022-02-07,33.92,Mae Kuang Udom Thara Dam
2022-02-07,71.38,Kiew Lom Dam
2022-02-07,76.93,Kiew Kor Ma Dam
