Date,Water volume in dams (by %),Name of dam
2021-01-15,53.81,Sirikit Dam
2021-01-15,51.82,Mae Ngat Somboon Chon Dam
2021-01-15,38.99,Mae Kuang Udom Thara Dam
2021-01-15,63.16,Kiew Lom Dam
2021-01-15,43.15,Kiew Kor Ma Dam
2021-01-15,41.83,Khwae Noi Bamrung Dan Dam
2021-01-15,38.15,Mae Mok Dam
2021-01-16,39.78,Bhumibol Dam
2021-01-16,53.65,Sirikit Dam
2021-01-16,51.41,Mae Ngat Somboon Chon Dam
2021-01-16,38.73,Mae Kuang Udom Thara Dam
2021-01-16,63.22,Kiew Lom Dam
2021-01-16,43.01,Kiew Kor Ma Dam
2021-01-16,41.72,Khwae Noi Bamrung Dan Dam
2021-01-16,38.07,Mae Mok Dam
2021-01-17,39.7,Bhumibol Dam
2021-01-17,53.49,Sirikit Dam
2021-01-17,51.26,Mae Ngat Somboon Chon Dam
2021-01-17,38.51,Mae Kuang Udom Thara Dam
2021-01-17,63.27,Kiew Lom Dam
2021-01-17,42.86,Kiew Kor Ma Dam
2021-01-17,41.58,Khwae Noi Bamrung Dan Dam
2021-01-17,38,Mae Mok Dam
2021-01-18,39.63,Bhumibol Dam
2021-01-18,53.33,Sirikit Dam
2021-01-18,51.25,Mae Ngat Somboon Chon Dam
2021-01-18,38.36,Mae Kuang Udom Thara Dam
2021-01-18,63.27,Kiew Lom Dam
2021-01-18,42.76,Kiew Kor Ma Dam
2021-01-18,41.43,Khwae Noi Bamrung Dan Dam
2021-01-18,38,Mae Mok Dam
2021-01-19,39.58,Bhumibol Dam
2021-01-19,53.17,Sirikit Dam
2021-01-19,51.14,Mae Ngat Somboon Chon Dam
2021-01-19,38.24,Mae Kuang Udom Thara Dam
2021-01-19,63.27,Kiew Lom Dam
2021-01-19,42.76,Kiew Kor Ma Dam
2021-01-19,41.32,Khwae Noi Bamrung Dan Dam
2021-01-19,37.93,Mae Mok Dam
2021-01-20,39.51,Bhumibol Dam
2021-01-20,53.01,Sirikit Dam
2021-01-20,51.03,Mae Ngat Somboon Chon Dam
2021-01-20,38.12,Mae Kuang Udom Thara Dam
2021-01-20,63.27,Kiew Lom Dam
2021-01-20,42.76,Kiew Kor Ma Dam
2021-01-20,41.26,Khwae Noi Bamrung Dan Dam
2021-01-20,37.93,Mae Mok Dam
2021-01-21,39.46,Bhumibol Dam
