province,district,subdistrict,moo,Situation_Date,End Disaster Date,,,
จังหวัด,อำเภอ,ตำบล,หมู่ที่,วันที่เกิดสถานการณ์,วันที่ประกาศยุติสถานการณ์,,,
กระบี่,เขาพนม,หน้าเขา,7,17-ต.ค.-65,22-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองท่อมใต้,3,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองท่อมเหนือ,2,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองท่อมเหนือ,5,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองท่อมเหนือ,7,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองพน,1,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองพน,2,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,คลองพน,4,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,พรุดินนา,3,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,พรุดินนา,5,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,พรุดินนา,6,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,พรุดินนา,11,19-ต.ค.-65,19-ต.ค.-65,,,
กระบี่,คลองท่อม,พรุดินนา,5,19-พ.ย.-65,19-พ.ย.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,11,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,11,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,1,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,2,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,5,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,6,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,7,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,8,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,9,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,10,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,11,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,12,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,กระบี่น้อย,13,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,2,23-มี.ค.-65,24-มี.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,3,23-มี.ค.-65,24-มี.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,4,23-มี.ค.-65,24-มี.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,6,23-มี.ค.-65,24-มี.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,1,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,2,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,5,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาคราม,6,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาทอง,1,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาทอง,2,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาทอง,3,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,เขาทอง,4,20-ต.ค.-65,25-ต.ค.-65,,,
กระบี่,เมืองกระบี่,คลองประสงค์,3,16-พ.ค.-65,16-พ.ค.-65,,,
กระบี่,เมืองกระบี่,ทับปริก,1,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ทับปริก,1,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ทับปริก,6,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ทับปริก,6,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ทับปริก,8,26-ส.ค.-65,,,,
กระบี่,เมืองกระบี่,ทับปริก,8,26-ส.ค.-65,,,,
